49.98901,9.30E-05,50.03436,0.02995
49.99634,4.53E-05,50.01897,0.0299
49.99047,9.54E-05,50.03293,0.02996
49.98388,1.22E-04,50.04868,0.02993
50.00286,6.44E-05,50.03938,0.02991
50.00895,6.68E-05,50.02971,0.03007
49.9967,9.30E-05,50.02505,0.02987
49.99047,8.58E-05,50.0315,0.02991
49.9967,4.77E-05,50.02505,0.02994
50.00179,6.68E-05,50.03615,0.02994
50.00107,1.22E-04,50.02327,0.03001
50,2.00E-04,50.02792,0.02995
49.9934,1.34E-04,50.02971,0.02989
50,1.05E-04,50.03938,0.02994
49.99854,5.72E-05,50.02792,0.03001
49.99817,1.22E-04,50.03902,0.0299
49.99377,1.14E-04,50.04188,0.02995
49.9967,1.03E-04,50.02828,0.02996
49.99634,1.41E-04,50.03579,0.02994
49.98901,8.58E-05,50.04045,0.02997
49.98901,1.03E-04,50.03436,0.02995
49.9934,2.10E-04,50.04725,0.02995
49.98718,2.46E-04,50.04188,0.03005
49.99047,1.69E-04,50.03758,0.03001
49.98352,1.69E-04,50.02684,0.03008
49.98059,1.50E-04,50.02327,0.0299
49.98352,1.14E-04,50.02362,0.02995
49.99377,1.24E-04,50.02971,0.03
49.98535,9.30E-05,50.03615,0.03011
49.98205,1.03E-04,50.02362,0.02997
49.97912,5.72E-05,50.02792,0.0301
49.98828,1.50E-04,50.01396,0.03002
49.98718,1.41E-04,50.02792,0.02995
49.97546,1.12E-04,50.03436,0.02997
49.98388,1.14E-04,50.02649,0.02996
49.98718,1.22E-04,50.01718,0.03
49.97875,1.50E-04,50.0247,0.02998
49.98535,1.81E-04,50.0247,0.02996
49.98388,2.46E-04,50.03615,0.03012
49.99194,1.31E-04,50.01718,0.03
49.98059,2.10E-04,50.0315,0.02999
49.98242,8.34E-05,50.01682,0.02996
49.97436,1.24E-04,50.02649,0.02998
49.9707,4.53E-05,50.03902,0.02997
49.98242,1.34E-04,50.02148,0.02991
49.98205,7.39E-05,50.03758,0.03004
49.97546,7.63E-05,50.03758,0.02992
49.97582,1.53E-04,50.03114,0.02992
49.97253,1.43E-04,50.0451,0.02994
49.97912,1.81E-04,50.0204,0.03004
49.97729,1.03E-04,50.02828,0.03007
49.98059,9.30E-05,50.04045,0.03003
49.98205,1.05E-04,50.02219,0.02994
49.98059,8.58E-05,50.03257,0.02992
49.98242,1.22E-04,50.0204,0.02994
49.98901,1.05E-04,50.01074,0.03002
49.97582,1.34E-04,50.0204,0.02992
49.9707,7.63E-05,50.04045,0.02997
49.9707,9.54E-05,50.03615,0.0299
49.97253,7.15E-06,50.02,0.02991
49.97399,4.53E-05,50.00644,0.0299
49.97399,1.03E-04,50.02219,0.02996
49.97253,2.62E-05,50.00751,0.02993
49.9696,-1.19E-05,50.01575,0.02995
49.97289,-1.19E-05,50.01253,0.03003
49.98535,7.15E-06,50.01396,0.02998
49.98352,9.30E-05,50.01396,0.03006
49.97765,6.44E-05,50.01539,0.02994
49.98205,3.81E-05,50.02505,0.0299
49.98242,8.58E-05,50.02935,0.02994
49.98828,-1.91E-05,50.02327,0.02993
49.98242,1.31E-04,50.01861,0.03
49.98718,6.44E-05,50.0204,0.02983
49.98718,9.54E-05,50.02505,0.02985
49.9967,5.72E-05,50.02148,0.02991
49.98718,2.10E-04,50.01861,0.02992
49.98718,6.44E-05,50.0204,0.02986
49.98242,4.53E-05,50.02148,0.02989
49.97253,9.54E-05,50.02792,0.02989
49.99194,1.69E-04,50.01682,0.02985
49.98205,6.68E-05,50.02505,0.02987
49.98571,2.74E-04,50.02649,0.02992
49.98242,1.69E-04,50.00895,0.02989
49.99157,2.19E-04,50.02505,0.03002
49.98718,2.17E-04,50.00931,0.0299
49.99047,9.54E-05,50.01718,0.02988
49.99524,1.69E-04,50.01432,0.02987
50,1.34E-04,50.01575,0.03003
49.99194,1.12E-04,50.01432,0.02994
50.00179,2.38E-04,50.00179,0.02991
50.00286,2.96E-04,50.00608,0.02995
49.99854,2.38E-04,50.00644,0.02995
50.00608,1.53E-04,50.01253,0.03001
50,1.53E-04,50.02148,0.02998
50.01432,2.10E-04,49.99817,0.03
49.99963,1.69E-04,50.01396,0.02988
49.99817,1.72E-04,50.01074,0.02985
50.00107,1.69E-04,50.0111,0.02995
50.00751,1.50E-04,50.02,0.02988
50.01396,1.50E-04,50.01217,0.02988
50.00931,2.65E-04,50.00286,0.0299
50.01539,1.22E-04,49.99854,0.03003
